date,lift_reason,det_facility,city,state,detainer_type
2008-09-04 00:00:00,United States Citizen Interviewed,OTHER-OTHER FACILITY,,,
2008-09-04 00:00:00,United States Citizen Interviewed,HUNTSVILLE STATE P.,HUNTSVILLE,TEXAS,
2008-09-07 00:00:00,United States Citizen Interviewed,EAST MESA DETENT FACILITY,SAN DIEGO,CALIFORNIA,
2008-09-15 00:00:00,United States Citizen Interviewed,OTHER-OTHER FACILITY,,,
2008-09-18 00:00:00,United States Citizen Interviewed,ELY STATE PRISON,ELY,NEVADA,
2008-09-25 00:00:00,United States Citizen Interviewed,SALT LAKE COUNTY JAIL,SALT LAKE CITY,UTAH,
2008-09-30 00:00:00,United States Citizen Interviewed,VISTA DETENTION FACILITY,VISTA,CALIFORNIA,
2008-10-06 00:00:00,United States Citizen Interviewed,PETERSBURG FED.CORR.INST.,PETERSBURG,VIRGINIA,
2008-10-16 00:00:00,United States Citizen Interviewed,OAKDALE FED.CORR.INST.,OAKDALE,LOUISIANA,
2008-10-17 00:00:00,United States Citizen Interviewed,"ACI, CRANSTON RI",CRANSTON,RHODE ISLAND,
2008-10-21 00:00:00,United States Citizen Interviewed,GEORGE BAILEY DETENT FACI,SAN DIEGO,CALIFORNIA,
2008-11-06 00:00:00,United States Citizen Interviewed,DUPAGE COUNTY JAIL,WHEATON,ILLINOIS,
2008-11-15 00:00:00,United States Citizen Interviewed,VENTURA COUNTY JAIL,VENTURA,CALIFORNIA,
2008-11-17 00:00:00,United States Citizen Interviewed,CLARK COUNTY DET.CENTER,LAS VEGAS,NEVADA,
2008-11-20 00:00:00,United States Citizen Interviewed,FLORENCE ADMAX US PEN.,FLORENCE,COLORADO,
2008-11-26 00:00:00,United States Citizen Interviewed,SAN DIEGO COUNTY JAIL,SAN DIEGO,CALIFORNIA,
2008-12-06 00:00:00,United States Citizen Interviewed,MONTGOMERY COUNTY DET.,ROCKVILLE,MARYLAND,
2008-12-22 00:00:00,United States Citizen Interviewed,NEBRASKA DEPT OF CORRECTI,LINCOLN,NEBRASKA,
