pvt_facility,state,capacity,det_facility
,,,CENTER POLICE DEPT.
,,,CENTINELA STATE PRISON
,,,CENTRAL CA WOMEN'S FACILI
,,,CENTRAL MICHIGAN CORR. FACILITY
,,,CENTRAL MISS.CORR.FAC.
,,,CENTRAL MO CORR. CENTER
,,,CENTRAL N.M.C.F.LOS LUNAS
,,,CENTRAL NM CF MINIMUN UNIT
,,,CENTRAL NY PSYCHIATRIC CENTERL
,,,CENTRAL OK CORR. FACILITY
,,,CENTRAL RECEPTION & ASSIGNMENT
,,,CENTRAL REGIONAL JAIL
,,,CENTRAL VA REGIONAL JAIL
,,,CENTRALIA CORRECTIONS CTR
,,,CENTRALIA POLICE DEPT.
,,,CENTRE CO JAIL
,,,CENTURY CORRECTIONAL INSTITUTION
,,,CERRO GORDO COUNTY
,,,CHAFFEE COUNTY JAIL
,,,CHAMBERS COUNTY JAIL
,,,CHAMBERS COUNTY SHERIFF
,,,CHAMBLEE POLICE DEPT
,,,CHAMPAIGN COUNTY JAIL
,,,CHARLES COUNTY DET CNTR
,,,"CHARLES EGLER FAC,JACKSON"
,,,"CHARLES MIX CO. JAIL, SD"
,,,CHARLESTON CORRECTIONAL F
,,,CHARLESTON COUNTY CORRECT
,,,"CHARLEVOIX CO, CHARLEV,MI"
,,,CHARLOTTE AMALIE HOLDROOM
,,,"CHARLOTTE CI, PUNTA GORDA"
,,,CHARLOTTE CO. SHERIFF
,,,CHARLOTTE COUNTY JAIL
,,,CHARLOTTE HOLD ROOM
,,,CHARLTON COUNTY SHERIFF
,,,CHASE COUNTY JAIL
,,,CHATEAUGAY ASATC
,,,CHATHAM CO JAIL
,,,CHATHAM COUNTY JAIL
,,,CHATOOGA COUNTY SHERIFF
,,,CHATTAHOOCHEE COUNTY SHERIFF
,,,CHATTANOOGA HOLD ROOM
,,,CHAUTAUQUA COUNTY JAIL
,,,CHAVES COUNTY JUVENILE CENTER
,,,CHAVEZ DET CRT
,,,CHEATHAM COUNTY SHERIFF
,,,CHELAN CITY JAIL
,,,CHELAN CO. REGIONAL JAIL
,,,CHEMUNG COUNTY JAIL
,,,CHENANGO COUNTY JAIL
,,,CHEROKEE CO JAIL GA
,,,CHEROKEE COUNTY DET CENTER
,,,CHEROKEE COUNTY JAIL
,,,CHEROKEE COUNTY SHERIFF'S OFFICE
,,,CHERRY COUNTY SHERIFF
,,,CHESAPEAKE CITY JAIL
,,,CHESHIRE CORR INSTITUTE
,,,CHESHIRE POLICE DEPT
,,,"CHESTER CNTY JAIL, PA"
,,,CHESTER COUNTY DET CENTER
,,,CHESTER POLICE DEPT.
,,,CHESTERFIELD CO. JAIL
,,,CHESTERFIELD COUNTY DET CENTER
,,,CHESTERFIELD POLICE DEPT.
,,,CHEYENNE CO DETENTION CTR
,,,CHEYENNE COUNTY JAIL
,,,CHEYENNE HOLDROOM
,,,CHICAGO HOLD ROOM
,,,CHICAGO MCC
,,,CHICKASAW COUNTY JAIL
,,,CHICOT COUNTY JAIL
,,,CHILDREN'S CENTER INC.
,,,CHILDREN'S VILLAGE
,,,CHILDREN'S VILLAGE-STAFF SECURE
,,,CHILDRESS COUNTY SHERIFF
,,,CHILLICOTHE CORR. CENTER
,,,CHILLICOTHE CORRECTIONAL
,,,CHILTON COUNTY JAIL
,,,"CHIPPEWA CO., SSM"
,,,CHIPPEWA COUNTY JAIL
,,,CHIPPEWA COUNTY WISCONSIN
,,,"CHIPPEWA REGIONAL,KINCHLO"
,,,CHISAGO COUNTY JAIL
,,,CHITTENDEN REG. COR. FACILITY
,,,CHOCTAW COUNTY JAIL
,,,CHOUTEAU COUNTY JAIL
,,,CHOWAN COUNTY JAIL
,,,CHRISTIAN CO SHERIFF DEPT
,,,CHRISTIAN COUNTY JAIL
,,,CHRISTIAN COUNTY SHERIFF & JAIL
,,,CHUCKWALLA STATE PRISON
,,,CHURCHILL COUNTY JAIL
,,,CI EDEN
,,,CI WILLACY
,,,CIBOLA COUNTY DET CTR
,,,CICERO POLICE DEPT.
,,,CIMARRON COUNTY SHERIFF/JAIL
,,,CIMMARRON CORR FACILITY
,,,CINC II
,,,CITRUS COUNTY JAIL
,,,CITY OF LAS VEGAS DET.CENTER
,,,CITY OF MESQUITE JAIL
,,,CITY OF WEBSTER POLICE DEPT.
,,,CLACKAMAS CO JAIL
,,,CLAIBORNE COUNTY JAIL
,,,CLAIBORNE PARISH DET CENTER
,,,CLALLAM CORRECTIONS FACILITY
,,,CLAREMONT CUSTODY CENTER
,,,CLARENDON COUNTY DET CENTER
,,,CLARENDON HILLS POLICE DEPT.
,,,CLARINDA CORR. TREAT. FAC.
,,,CLARION  COUNTY CORRECTIONS
,,,CLARK COUNTY DET.CENTER
,,,CLARK COUNTY DETENTION
,,,CLARK COUNTY JAIL
,,,CLARK COUNTY JUVENILE
,,,CLARK COUNTY SHERIFF
,,,"CLARK COUNTY, TUCKER HOLD FAC."
,,,CLARKE CO SHERIFF
,,,CLARKE COUNTY JAIL
,,,CLARKE FRED'K WINCH.
,,,CLARKSTOWN POLICE DEPT.
,,,CLATSOP CO JAIL
,,,CLAY CO JAIL
,,,CLAY CO. MINNESOTA
,,,CLAY COUNTY JAIL
,,,CLAY COUNTY JUSTICE CENTER
,,,CLAY COUNTY JUVENILE
,,,CLAY COUNTY SHERIFF
,,,CLAYTON COUNTY JAIL
,,,CLEAR CREEK COUNTY JAIL
,,,"CLEARFIELD CO. JAIL, PA"
,,,CLEARWATER COUNTY JAIL
,,,CLEBURNE COUNTY JAIL
,,,CLERMONT COUNTY JAIL
,,,CLEVELAND COUNTY JAIL
,,,"CLEVELAND COUNTY, NORMAN"
,,,CLEVELAND HGTS. CITY JAIL
,,,CLEVELAND HOLD ROOM
,,,CLEVELAND POLICE DEPT.
,,,CLINCH COUNTY SHERIFF
,,,CLINTON C.F. DANNEMMORA
,,,CLINTON COUNTY CORR. FAC.
,,,CLINTON COUNTY JAIL
,,,CLOUD COUNTY JAIL
,,,CLUTE POLICE DEPT.
,,,CMCCLAIN COUNTY SHERIFF/JAIL
,,,CMF-VACAVILLE
,,,COASTAL BEND DET. FACILITY
,,,COBB COUNTY JAIL
,,,COCHISE CO JAIL BISBEE AZ
,,,COCHISE COUNTY CHILD CENT
,,,COCHRAN COUNTY JAIL
,,,COCKE COUNTY JAIL
,,,COCONINO CO DETENTION FACILITY
,,,"CODINGTON CO. JAIL, SD"
,,,COFFEE COUNTY JAIL
,,,COFFEE COUNTY SHERIFF
,,,COFFEE CREEK C.F.
,,,COFFEY COUNTY SHERIFF'S OFFICE
,,,COLBERT COUNTY JAIL
,,,COLEMAN COUNTY SHERIFF
,,,COLEMAN FCI
,,,COLES COUNTY JAIL
,,,COLFAX CO JAIL
,,,COLFAX COUNTY DET CTR
,,,COLLEGE STATION POLICE DEPT.
,,,COLLETON COUNTY JAIL
,,,COLLIER COUNTY SHERIFF
,,,COLLIERVILLE POLICE DEPT.
,,,COLLIN COUNTY JAIL
,,,COLLINGSWORTH COUNTY SHERIFF
,,,COLLINS C.F.
,,,COLO DEPT OF CORRECTIONS
,,,COLOMBIA COUNTY JAIL
,,,COLORADO COUNTY JAIL
,,,COLQUITT COUNTY JAIL
,,,COLUMBIA ANNEX-WORK CAMP
,,,COLUMBIA CARE CENTER
,,,"COLUMBIA CORR. PORTAGE,WI"
,,,COLUMBIA CORRECTIONAL INSTITUTION
,,,COLUMBIA COUNTY JAIL
,,,COLUMBIA COUNTY SHERIFF
,,,COLUMBIA COUNTY SHERIFF/JAIL
,,,COLUMBIA RIVER CORR INST
,,,"COLUMBIA, SC HOLDROOM"
,,,COLUMBIANA COUNTY JAIL
,,,COLUMBUS COUNTY JAIL
,,,COLUMBUS POLICE DEPT.
,,,COLUSA COUNTY JAIL
,,,COMAL CTY JAIL
,,,COMANCHE CO LAW ENFOR CTR
,,,"COMANCHE COUNTY, LAWTON,"
,,,COMFORT INN
,,,COMMERCE CITY - CITY JAIL
,,,COMMERCE POLICE DEPT.
,,,CONCHO COUNTY SHERIFF
,,,CONCORDIA PARISH C C
,,,CONECUH COUNTY JAIL
,,,CONEJOS COUNTY JAIL
,,,"CONNER CC, HOMINY, OK"
,,,CONROE POLICE DEPT.
,,,CONTRA COSTA CO JAIL/WEST
,,,CONTRA COSTA CO. JAIL
,,,CONTRA COSTA JUV. PROBATION
,,,CONVERSE COUNTY JAIL
,,,CONWAY COUNTY JAIL
,,,"COOK CO. JAIL, MN"
,,,COOK COUNTY HOSPITAL
,,,COOK COUNTY JAIL
,,,COOK COUNTY SHERIFF
,,,"COOK INLET PRETRIAL, ANCH"
,,,COOKE COUNTY JAIL
,,,COOPER STREET CORR. FACILITY
,,,COOS CO. JAIL
,,,COOS COUNTY JAIL
,,,COOSA COUNTY JAIL
,,,COPIAH COUNTY JAIL
,,,COPPELL POLICE DEPT.
,,,CORINTH CITY JAIL
,,,CORPUS CHRISTI CITY MARSHAL'S
,,,CORPUS CHRISTI FACILITY
,,,CORPUS CHRISTI POLICE DEPT.
,,,CORR. CORP. OF AMERICA
,,,CORR. CTR OF NORTHWEST OH
,,,CORR.CORP.OF AMERICA - SAN DIEGO
,,,CORRECTIONAL INDUSTRIAL FACILITY
,,,CORRECTIONAL RECEPTION
,,,CORRECTIONS MEDICAL CENTE
,,,CORRIGAN CORR INST
,,,CORRIGAN POLICE DEPT.
,,,CORTLAND COUNTY JAIL
,,,CORYELL COUNTY JAIL
,,,COSHOCTON COUNTY JAIL
,,,COSTA MESA CITY JAIL
,,,COSTA MESA COLLEGE HOSP
,,,COSTILLA COUNTY JAIL
,,,"COTTON COUNTY, WALTERS OK"
,,,COTTONWOOD COUNTY JAIL
,,,COUNTY OF UNION JUV DET CENTER
,,,COVINA POLICE DEPT.
,,,COVINGTON COUNTY JAIL
,,,COWETA COUNTY SHERIFF
,,,COWLEY COUNTY JAIL
,,,COWLITZ CO. JUV. DET.
,,,COWLITZ COUNTY JAIL
,,,COXSACKIE CF  W.COXSACKIE
,,,COYOTE RIDGE CORRECTIONS
,,,CRAIG COUNTY JAIL
,,,CRAIG HOLDROOM
,,,CRAIGHEAD COUNTY JAIL
,,,CRANE COUNTY SHERIFF'S DEPT.
,,,CRAVEN CORRECTIONAL INSTITUTION
,,,CRAVEN COUNTY JAIL
,,,"CRAWFORD CO, GRAYLING,MI."
,,,CRAWFORD COUNTY JAIL
,,,"CRAWFORD COUNTY JAIL, PA"
,,,CRAWFORD COUNTY SHERIFF
,,,CREEK COUNTY SHERIFF/JAIL
,,,CRENSHAW COUNTY JAIL
,,,CRESTWOOD POLICE DEPARTMENT
,,,CRESTWOOD POLICE DEPT.
,,,CREVE COEUR POLICE DEPT.
,,,CRISP COUNTY SHERIFF
,,,CRITTENDEN COUNTY DET CENTER
,,,CRITTENDEN COUNTY DET CTR
,,,CROCKETT COUNTY SHERIFF
,,,"CROCKETT COUNTY, TN SHERIFF/JAIL"
,,,CROCKETT POLICE DEPT.
,,,CROOK COUNTY JAIL
,,,CROSBY COUNTY SHERIFF
,,,CROSS CITY CORRECTIONAL
,,,CROSSROADS YTH & FAM SERVICES
,,,CROW WING COUNTY JAIL
,,,CROWLEY COUNTY JAIL
,,,CROWLEY POLICE DEPT.
,,,CRYSTAL CITY CORR. CENTER
,,,CSC SO.FULTON MUNIC.JAIL
,,,CSP-CORCORAN
,,,CSP-SACRAMENTO
,,,CSP-SAN QUENTIN
,,,CSP-SOLANO
,,,CTF-SOLEDAD
,,,CULBERSON COUNTY SHERIFF'S
,,,CULLMAN COUNTY JAIL
,,,CULPEPER CO. ADULT DET. CENTER
,,,CULVER CITY POLICE DEPT.
,,,"CUMBERLAND CNTY JAIL, PA"
,,,CUMBERLAND COUNTY JAIL
,,,CUMBERLAND FCI
,,,CURRAN FROMHOLD CORR.FAC.
,,,CURRITUCK COUNTY JAIL
,,,CURRY COUNTY DET FAC
,,,CURRY COUNTY JAIL
,,,CUSTER COUNTY JAIL
,,,CUSTER COUNTY SHERIFF OFFICE
,,,CUSTER COUNTY SHERIFF/JAIL
,,,CUYAHOGA COUNTY JAIL
,,,CUYAHOGA HILLS JUVENILE
,,,CYBULSKI CORR INST
,,,CYPRESS POLICE DEPT.
,,,Cabarrus County Jail
,,,D. RAY JAMES PRISON
,,,D.E. LONG JUV.DETENTION
,,,DADE CORRECTIONAL INST
,,,DADE COUNTY CORRECTIONAL
,,,DADE COUNTY JAIL
,,,"DAKOTA CO. JAIL, MN"
,,,DAKOTA COUNTY JAIL
,,,DALBY CORRECTIONAL INSTITUTE
,,,DALE COUNTY JAIL
,,,DALHIA STREET YOUTH CENTE
,,,DALLAM COUNTY SHERIFF
,,,DALLAS COUNT JAIL
,,,DALLAS COUNTY JAIL
,,,DALLAS COUNTY SHERIFF'S OFFICE
,,,DALLAS F.O. HOLD
,,,DALWORTHINGTON GARDENS POL. DEPT.
,,,DANBURY FED.CORR.INST.
,,,DANBURY POLICE DEPT.
,,,DANE COUNTY JAIL
,,,DANVILLE CITY JAIL
,,,DANVILLE CITY JAIL FARM
,,,DANVILLE CORRECTIONAL CENTER
,,,DANVILLE CORRECTIONS
,,,DAPHNE POLICE DEPT CORR CENTER
,,,DARE COUNTY JAIL
,,,DARKE COUNTY JAIL
,,,DARLINGTON COUNTY DET CENTER
,,,"DAUPHIN CNTY JAIL, PA"
,,,DAVID WADE CORRECTIONAL INSTITUTE
,,,DAVIDSON CO. SHERIFF DEPT
,,,DAVIDSON COUNTY JAIL
,,,DAVIE COUNTY JAIL
,,,DAVIESS COUNTY JAIL
,,,DAVIS CO. JAIL
,,,"DAVISON COUNTY, SD"
,,,DAWSON CO. DET. CENTER
,,,DAWSON COUNTY JAIL
,,,DAYBREAK RUNAWAY
,,,DAYTON CORRECTIONAL INST.
,,,DAYTON HUMAN REHAB
,,,DAYTON POLICE DEPT.
,,,DC DEPT OF CORRECTIONS
,,,DE WITT COUNTY JAIL
,,,DEAF SMITH COUNTY SHERIFF
,,,DEARBORN HEIGHTS POLICE DEPT.
,,,DEARBORN POLICE DEPT.
,,,DECATUR CITY JAIL
,,,DECATUR CORRECTIONAL CENTER
,,,DECATUR COUNTY JAIL
,,,DECATUR COUNTY SHERIFF/JAIL
,,,DECATUR POLICE DEPT.
,,,DEDHAM POLICE DEPT
,,,DEER PARK POLICE DEPT.
,,,DEER RIDGE COR. FAC.
,,,DEFIANCE COUNTY JAIL
,,,DEKALB CO JAIL
,,,DEKALB COUNTY DETENTION CENTER
,,,DEKALB COUNTY JAIL
,,,DEKALB COUNTY SHERIFF
,,,DEL AMO PSYCHIATRIC HOSPITAL
,,,DEL NORTE CO JAIL
,,,DEL RIO DRO HOLD ROOM
,,,DELANEY HALL DETENTION FACILITY
,,,DELAWARE CO JAIL
,,,DELAWARE CO. JUVI CENTER
,,,DELAWARE CORRECTION CENTE
,,,DELAWARE COUNTY JAIL
,,,DELAWARE COUNTY SHERIFF/JAIL
,,,DELTA COUNTY JAIL
,,,DENNY JUV CENTER-SNOHOMISH CO
,,,DENTON CITY JAIL
,,,DENTON COUNTY JAIL
,,,DENVER CONTRACT DET. FAC.
,,,DENVER COUNTY JAIL
,,,DENVER HOLD ROOM
,,,DENVER JUSTICE CENTER
,,,DEPARTMENT OF CORRECTIONS
,,,DEPT OF CORRECTIONS-HAGATNA
,,,DES MOINES COUNTY JAIL
,,,DES MOINES HOLD ROOM
,,,DES PERES DPS
,,,DES PLAINES POLICE DEPARTMENT
,,,DESCANSO DETENTION FAC.
,,,DESCHUTES CO JAIL
,,,DESOTO CORRECTIONAL
,,,DESOTO COUNTY JAIL
,,,DESOTO PARISH DETENTION CENTER
,,,DESOTO REGIONAL JAIL
,,,DET PD 11TH PREC.
,,,DET PD 12TH PREC.
,,,DET PD 3RD PREC
,,,DET PD 4TH PREC.
,,,DET PD 5TH PREC.
,,,DET PD 9TH PREC.
,,,"DET RECEIVING HOSP,DET,MI"
,,,DETROIT POLICE 1ST PCT.
,,,"DETROIT POLICE DEPT, 2ND PCT"
,,,DETROIT REENTRY CENTER
,,,DEUEL VOCATIONAL INSTITUT
,,,DEVENS FMC
,,,DEVILS LAKE LAW ENF CENTR
,,,DEWEY COUNTY SHERIFF/JAIL
,,,DEWITT COUNTY JAIL
,,,DGH WARD 18
,,,DHS/ICE/DRO
,,,DIAMONDBACK CORR FACILITY
,,,DICKENS COUNTY DET. CENTER
,,,"DICKINSON CO.,IRON MT.,MI"
,,,DICKINSON COUNTY JAIL
,,,DICKINSON POLICE DEPT.
,,,DICKSON COUNTY JAIL
,,,DILLON COUNTY JAIL
,,,DIMMIT COUNTY JAIL BEN MURRAY LEC
,,,DIXIE COUNTY JAIL
,,,DIXON CORRECTIONAL CENTER
,,,DIXON CORRECTIONAL INST
,,,DIXON COUNTY JAIL
,,,"DODGE CORR INSTITUTE, WAU"
,,,DODGE COUNTY JAIL
,,,"DODGE COUNTY JAIL, JUNEAU"
,,,DODGE COUNTY SHERIFF
,,,DOLTON POLICE DEPT.
,,,DONA ANA COUNTY DETENTION FACILITY
,,,DONALDSON CORRECTIONAL FACILITY
,,,DONIPHAN COUNTY SHERIFF'S OFFICE
,,,DONLEY COUNTY SHERIFF
,,,DONNA POLICE DEPT.
,,,DOOLY COUNTY SHERIFF
,,,DOOR COUNTY SHERIFF
,,,DORAVILLE CITY JAIL
,,,DORCHESTER CO DET CNTR
,,,DORCHESTER COUNTY DET CENTER
,,,DORCHESTER COUNTY JAIL ANNEX
,,,DOTHAN CITY JAIL
,,,DOUGHERTY COUNTY JAIL
,,,DOUGLAS CO JUV DET SVCES
,,,DOUGLAS CO. JAIL
,,,DOUGLAS CO. MN
,,,DOUGLAS CO. WISCONSIN
,,,DOUGLAS COUNTY CORRECTION
,,,DOUGLAS COUNTY DETENTION CENTER
,,,DOUGLAS COUNTY DETENTION FACILITY
,,,DOUGLAS COUNTY JAIL
,,,DOUGLAS COUNTY SHERIFF
,,,DOUGLAS COUNTY SHERIFF/JAIL
,,,DOVER HOLDROOM
,,,DOVER POLICE DEPT.
,,,DOWNEY POLICE DEPT.
,,,"DOWNSTATE CF, FISHKILL"
,,,DREW COUNTY JAIL
,,,DUBLIN FED.CORR.INST.
,,,DUBOIS COUNTY CORR. FAC.
,,,"DUBUQUE COUNTY JAIL, IOWA"
,,,DUKES COUNTY JAIL
,,,DUMAS POLICE DEPT.
,,,DUMAS POLICE DEPT/JAIL
,,,DUNCANVILLE POLICE DEPT.
,,,DUNKLIN COUNTY SHERIFF/JAIL
,,,DUNN COUNTY SHERIFF
,,,DUPAGE COUNTY JAIL
,,,DUPLIN COUNTY JAIL
,,,DURANGO HOLDROOM
,,,DURANGO JUVENILE FAC.
,,,DURHAM COUNTY DET. CENTER
,,,DUTCH HARBOR CITY JAIL
,,,"DUTCHESS CO.JAIL,POUGHKEE"
,,,DUVAL COUNTY JAIL
,,,DUVAL/JACKSONVILLE JAIL
,,,DWIGHT CORRECTIONS
,,,E. MO CORR. CENTER
,,,EAGLE COUNTY JAIL
,,,EARLY COUNTY SHERIFF
,,,EAST ARKANSAS REGIONAL
,,,EAST BATON ROUGE JAIL
,,,EAST CARROLL DET CENTER
,,,EAST CHICAGO POLICE DEPT.
,,,EAST FELICIANA PAR. PRISON
,,,EAST HAVEN POLICE DEPT.
,,,EAST JERSEY STATE PRISON
,,,EAST MESA DETENT FACILITY
,,,EAST MOLINE CORRECTIONS
,,,EAST REC DIAG CORR CENTER
,,,EAST REGIONAL JUV. CENTER
,,,EASTERN C.F. NAPANOCH
,,,EASTERN CORRECTIONAL INST
,,,EASTERN KENTUCKY CORR COM
,,,EASTERN OREGON CORR INST
,,,EASTERN OREGON YOUTH C.F.
,,,EASTERN REGIONAL JAIL
,,,EASTERN SHORE REGIONAL JAIL
,,,EASTLAKE CITY JAIL
,,,EASTLAKE JUVENILE HALL
,,,EASTLAND COUNTY SHERIFF
,,,"EATON CO.,CHARLOTTE, MI"
,,,EAU CLAIRE COUNTY JAIL
,,,ECHOLS COUNTY SHERIFF
,,,ECTOR COUNTY CORRECTION CENTER
,,,ECTOR COUNTY LAW ENFORCEMENT
,,,ECTOR COUNTY YOUTH CENTER
,,,EDDIE WARRIOR CORR CENTER
,,,EDDY COUNTY JAIL
,,,EDEN DET CENTER
,,,EDEN HOLD ROOM
,,,EDGECOMBE C.F. MANHATTEN
,,,EDGECOMBE COUNTY JAIL
,,,EDGEFIELD COUNTY JAIL
,,,EDGEFIELD FED.CORR.INST.
,,,EDINBURG POLICE DEPT.
,,,EDMOND POLICE DEPT.
,,,EDNA MAHAN WOMENS' CORR.
,,,EDNA POLICE DEPT.
,,,EDWARDS COUNTY JAIL
,,,EFFINGHAM CO. SHERIFF
,,,EFFINGHAM COUNTY SHERIFF
,,,"EGELER COR FAC,JACKSON,MI"
,,,EL CAMPO POLICE DEPT.
,,,EL CENTRO SPC
,,,EL DORADO CORR. FACILITY
,,,EL DORADO COUNTY JAIL
,,,EL MIRAGE CITY JAIL
,,,EL MONTE POLICE DEPT.
,,,EL PASO COUNTY JAIL (CO)
,,,EL PASO COUNTY JAIL (TX)
,,,EL PASO SPC
,,,EL PASO SPC JUVENILE
,,,EL RENO FED.CORR.INST.
,,,EL SEGUNDO POLICE DEPT.
,,,ELBERT CO. DET. CENTER
,,,ELBERT COUNTY JAIL
,,,ELGIN POLICE DEPT. JAIL
,,,ELIZABETH CONTRACT D.F.
,,,ELK COUNTY PRISON
,,,ELKHART COUNTY JAIL
,,,ELKHART POLICE DEPT.
,,,ELKO COUNTY JAIL
,,,ELKTON FED.CORR.INST.
,,,ELLIS COUNTY JAIL
,,,ELLIS COUNTY SHERIFF'S DEPT.
,,,ELLIS COUNTY SHERIFF/JAIL
,,,ELLSWORTH CORR. FACILITY
,,,ELMIRA C.F.
,,,ELMORE CORRECTIONAL FACILITY
,,,ELMORE COUNTY JAIL
,,,ELOY FEDERAL CONTRACT FAC
,,,ELY STATE PRISON
,,,EMANUEL CO. DET. CENTER
,,,EMERG.PROTECT.SERV.SHELTER
,,,EMMET COUNTY JAIL
,,,EMMET COUNTY SHERIFF/JAIL
,,,ENFIELD CORR INST
,,,ENGLAND POLICE DEPT/JAIL
,,,ENGLEWOOD FED.CORR.INST.
,,,ENUMCLAW CITY JAIL
,,,ERATH COUNTY JAIL
,,,ERIE CO HOLDING CENTER
,,,ERIE COUNTY CORRECTIONAL
,,,ERIE COUNTY HOLDING CENTER
,,,ERIE COUNTY JAIL
,,,"ERIE COUNTY JAIL, PA"
,,,ESCAMBIA COUNTY DETENTION CENTER
,,,ESCAMBIA COUNTY JAIL
,,,ESMERALDA COUNTY JAIL
,,,"ESSEX CO. JAIL, MIDDLETON"
,,,ESSEX COUNTY JAIL
,,,ESTILL FED.CORR.INST.
,,,ETOWAH COUNTY JAIL (AL)
,,,ETOWAH ERO HOLD ROOM
,,,EUCLID CITY JAIL
,,,EUGENE HOLDROOM
,,,EULESS CITY JAIL
,,,EUNICE CITY JAIL
,,,EUREKA COUNTY JAIL
,,,EVANGELINE PARISH JAIL
,,,EVANS COUNTY SHERIFF
,,,EVERGALDES CORR. INSTITUTION
,,,F.C.I. HERLONG
,,,F.C.I. MENDOTA
,,,FACILITY 8 DETENTION FACILITY
,,,FAIRBANKS CORR CTR
,,,FAIRFAX CO JAIL
,,,FAIRFAX CO. ADULT DETENTION CENTER
,,,FAIRFIELD COUNTY DET CENTER
,,,FAIRFIELD COUNTY JAIL
,,,FAIRFIELD POLICE DEPT.
,,,FAIRHOPE CITY CORR. FACILITY
,,,FAIRTON FCI
,,,FAIRVIEW HEIGHTS POLICE DEPT.
,,,FALL RIVER COUNTY JAIL
,,,FALLS COUNTY JAIL
,,,FANNIN COUNTY JAIL
,,,FARIBAULT COUNTY JAIL
,,,FARMERS BRANCH POL. DEPT.
,,,FARMINGTON CORR. CENTER
,,,FARMINGTON HILLS POLICE DEPT.
,,,FAULK COUNTY JAIL
,,,FAULKNER COUNTY JAIL
,,,FAUQUIER COUNTY ADULT DET. CTR
,,,FAYETTE COUNTY DETENTION CENTER
,,,FAYETTE COUNTY JAIL
,,,FAYETTE COUNTY SHERIFF'S OFFICE
,,,FAYETTEVILLE HOLD ROOM
,,,FCI FORREST CITY MED.
,,,FCI GILMORE
,,,FCI MCDOWELL
,,,FCI VICTORVILLE
,,,FDC HOUSTON
,,,FDC PHILADELPHIA
,,,FEDERAL TRANSFER CENTER OKC
,,,FENTRESS COUNTY SHERIFF
,,,FERRIS POLICE DEPT.
,,,FERRY COUNTY JAIL
,,,FIFE CITY JAIL
,,,FILLMORE COUNTY JAIL
,,,FINNEY COUNTY JAIL
,,,FISHER COUNTY SHERIFF
,,,FISHKILL C.F. BEACON NY
,,,FITCHBURG POLICE DEPT
,,,FIVE COUNTY JUV DET CENTER
,,,FIVE OPOINTS CORRECTIONAL
,,,FL DEPT OF CORRECTIONS
,,,FLAGLER COUNTY JAIL
,,,FLATHEAD COUNTY JAIL
,,,FLORENCE ADMAX US PEN.
,,,FLORENCE COUNTY DET CENTER
,,,FLORENCE FED.CORR.INST.
,,,FLORENCE SPC
,,,FLORENCE STAGING FACILITY
,,,FLORENCE US PEN
,,,"FLORIDA CORR INST, LOWELL"
,,,FLORIDA DEPT OF CORR. COR
,,,"FLORIDA ST. PRIS.,STARKE"
,,,FLORISSANT POLICE DEPT.
,,,FLOWER MOUND CITY JAIL
,,,FLOYD COUNTY JAIL
,,,FLOYD COUNTY SHERIFF
,,,"FLOYD COUNTY, IOWA JAIL"
,,,FOLEY POL. DEPT. JAIL
,,,FOLSOM STATE PRISON
,,,FOND DU LAC COUNTY SHERIFF/JAIL
,,,FORD COUNTY JAIL
,,,FOREST CITY FED.CORR.INST
,,,FOREST PARK POLICE DEPT.
,,,FOREST PK CITY JAIL
,,,FORKS CITY JAIL
,,,FORREST COUNTY A.D.C.
,,,FORSYTH COUNTY JAIL
,,,FORSYTH COUNTY SHERIFF'S OFFICE
,,,FORT DIX FED.CORR.INST.
,,,FORT MYERS SHERIFF
,,,FORT PAYNE POLICE DEPT/JAIL
,,,FORT SMITH HOLDROOM
,,,FORT WORTH FED.MED.CENTER
,,,FORT WORTH POLICE DEPT
,,,FOUNTAIN VALLEY POLICE DEPT.
,,,FOX LAKE CORRECTIONAL INS
,,,FRANKLIN C.F.
,,,FRANKLIN CO. REGION JAIL
,,,FRANKLIN COUNTY
,,,FRANKLIN COUNTY DETENTION CENTER
,,,FRANKLIN COUNTY JAIL
,,,"FRANKLIN COUNTY JAIL, ME"
,,,FRANKLIN COUNTY JUV. CTR
,,,FRANKLIN COUNTY SHERIFF'S OFFICE
,,,FRANKLIN HOUSE OF CORRECTIONS
,,,FRANKLIN PARISH DET. CENTER
,,,FRANKLIN PRE-RELEASE
,,,FREDERICK COUNTY DET. CEN
,,,"FREEBORN COUNTY JAIL, MN"
,,,FREEPORT POLICE DEPT.
,,,FREESTONE COUNTY JAIL
,,,FREMONT COUNTY JAIL
,,,"FREMONT COUNTY JAIL, CO"
,,,"FREMONT COUNTY JAIL, WY"
,,,FREMONT COUNTY SHERIFF
,,,FRESNO COUNTY JAIL
,,,FRESNO COUNTY JAIL/MAIN
,,,FRESNO COUNTY JAIL/NEW
,,,FRESNO COUNTY JAIL/SOUTH
,,,FRESNO HOLDROOM
,,,FRIENDSWOOD POLICE DEPT.
,,,FRIO COUNTY JAIL
,,,FRIONA POLICE DEPT.
,,,FRISCO POLICE DEPT.
,,,FRONTIER COUNTY JAIL
,,,FT LAUDERDALE CITY JAIL
,,,FT WORTH POLICE DEPT.
,,,FT. BEND COUNTY JAIL
,,,FULLERTON CITY JAIL
,,,FULTON C.F. BRONX NY
,,,FULTON COUNTY JAIL
,,,FULTON DIAGNOSTIC CENTER
,,,FURNAS COUNTY JAIL
