year,det_facility,city,state,count,det_facility,year,count
2015,DADE COUNTY CORRECTIONAL,MIAMI,FLORIDA,29,DADE COUNTY CORRECTIONAL,2015,10
2015,"DAKOTA CO. JAIL, MN",HASTINGS,MINNESOTA,2,"DAKOTA CO. JAIL, MN",2015,7
2015,"DAUPHIN CNTY JAIL, PA",HARRISBURG,PENNSYLVANIA,2,"DAUPHIN CNTY JAIL, PA",2015,1
2015,DAVIDSON CO. SHERIFF DEPT,NASHVILLE,TENNESSEE,1,DAVIDSON CO. SHERIFF DEPT,2015,61
2015,DENVER COUNTY JAIL,DENVER,COLORADO,3,DENVER COUNTY JAIL,2015,1
2015,DENVER JUSTICE CENTER,DENVER,COLORADO,95,DENVER JUSTICE CENTER,2015,19
2015,DESOTO COUNTY JAIL,ARCADIA,FLORIDA,1,DESOTO COUNTY JAIL,2015,22
2015,DOUGLAS COUNTY DETENTION CENTER,CASTLE ROCK,COLORADO,2,DOUGLAS COUNTY DETENTION CENTER,2015,2
2015,DOUGLAS COUNTY SHERIFF,DOUGLASVILLE,GEORGIA,1,DOUGLAS COUNTY SHERIFF,2015,5
2015,EAGLE COUNTY JAIL,EAGLE,COLORADO,4,EAGLE COUNTY JAIL,2015,4
2015,EL PASO COUNTY JAIL (CO),COLORADO SPRINGS,COLORADO,9,EL PASO COUNTY JAIL (CO),2015,22
2015,F.C.I. HERLONG,HERLONG,CALIFORNIA,2,F.C.I. HERLONG,2015,3
2015,FORREST COUNTY A.D.C.,HATTIESBURG,MISSISSIPPI,1,FORREST COUNTY A.D.C.,2015,11
2015,FRANKLIN COUNTY JAIL,COLUMBUS,OHIO,32,FRANKLIN COUNTY JAIL,2015,14
2015,FRESNO COUNTY JAIL,FRESNO,CALIFORNIA,38,FRESNO COUNTY JAIL,2015,10
2015,GALVESTON COUNTY SHERIFF,GALVESTON,TEXAS,1,GALVESTON COUNTY SHERIFF,2015,4
2015,GARDEN GROVE POLICE DEPT.,GARDEN GROVE,CALIFORNIA,1,GARDEN GROVE POLICE DEPT.,2015,1
2015,GARDENA POLICE DEPT.,GARDENA,CALIFORNIA,1,GARDENA POLICE DEPT.,2015,1
2015,GEORGIA DEPT OF CORRECTIO,ATLANTA,GEORGIA,1,GEORGIA DEPT OF CORRECTIO,2015,65
2015,GLENDALE POLICE DEPT,GELNDALE,CALIFORNIA,2,GLENDALE POLICE DEPT,2015,5
2015,HAMBLEN COUNTY JAIL,MORRISTOWN,TENNESSEE,1,HAMBLEN COUNTY JAIL,2015,9
2015,HARFORD COUNTY DETENTION,BEL AIR,MARYLAND,2,HARFORD COUNTY DETENTION,2015,3
2015,HARRISON DETENTION CENTER,GULFPORT,MISSISSIPPI,2,HARRISON DETENTION CENTER,2015,20
2015,HENDERSON DETENTION,HENDERSON,NEVADA,1,HENDERSON DETENTION,2015,13
2015,HENDRY COUNTY JAIL,LABELLE,FLORIDA,5,HENDRY COUNTY JAIL,2015,2
2015,HENNEPIN COUNTY ADC,MINNEAPOLIS,MINNESOTA,31,HENNEPIN COUNTY ADC,2015,45
2015,HENNIPEN COUNTY WORKHOUSE,PLYMOUTH,MINNESOTA,1,HENNIPEN COUNTY WORKHOUSE,2015,3
2015,HILLSBOROUGH COUNTY JAIL,MANCHESTER,NEW HAMPSHIRE,1,HILLSBOROUGH COUNTY JAIL,2015,13
2015,HILLSBOROUGH COUNTY JAIL,TAMPA,FLORIDA,1,HILLSBOROUGH COUNTY JAIL,2015,13
2015,HOBBS CITY JAIL,HOBBS,NEW MEXICO,2,HOBBS CITY JAIL,2015,6
2015,HOWARD COUNTY DET CNTR,JESSUP,MARYLAND,1,HOWARD COUNTY DET CNTR,2015,13
2015,HUDSON COUNTY JAIL,KEARNEY,NEW JERSEY,2,HUDSON COUNTY JAIL,2015,85
2015,HUNTSVILLE STATE P.,HUNTSVILLE,TEXAS,1,HUNTSVILLE STATE P.,2015,59
2015,INDIO JAIL - RIVERSIDE COUNTY,INDIO,CALIFORNIA,4,INDIO JAIL - RIVERSIDE COUNTY,2015,2
2015,JACKSON CO JAIL,MEDFORD,OREGON,3,JACKSON CO JAIL,2015,1
2015,JEFFERSON COUNTY JAIL,GOLDEN,COLORADO,9,JEFFERSON COUNTY JAIL,2015,17
2015,JOHNSON COUNTY SHERIFF/JAIL,OLATHE,KANSAS,2,JOHNSON COUNTY SHERIFF/JAIL,2015,2
2015,JONES COUNTY ADULT DET. FACILITY,ELLISVILLE,MISSISSIPPI,1,JONES COUNTY ADULT DET. FACILITY,2015,5
2015,KENT CO. DET. CENTER,CHESTERTOWN,MARYLAND,1,KENT CO. DET. CENTER,2015,1
2015,KERN COUNTY JAIL (LERDO),BAKERSFIELD,CALIFORNIA,22,KERN COUNTY JAIL (LERDO),2015,24
2015,KERR COUNTY JAIL,KERRVILLE,TEXAS,1,KERR COUNTY JAIL,2015,4
2015,KITSAP COUNTY JAIL,PORT ORCHARD,WASHINGTON,1,KITSAP COUNTY JAIL,2015,2
2015,"LANCASTER CNTY JAIL, PA",LANCASTER,PENNSYLVANIA,1,"LANCASTER CNTY JAIL, PA",2015,2
2015,LARIMER COUNTY JAIL,FT COLLINS,COLORADO,2,LARIMER COUNTY JAIL,2015,1
2015,LAS COLINAS DET/REENTRY FACILITY,SANTEE,CALIFORNIA,18,LAS COLINAS DET/REENTRY FACILITY,2015,15
2015,LAS VEGAS CITY JAIL,LAS VEGAS,NEVADA,6,LAS VEGAS CITY JAIL,2015,67
2015,LINN CO JAIL,ALBANY,OREGON,1,LINN CO JAIL,2015,3
2015,LINN COUNTY JAIL,CEDAR RAPIDS,IOWA,1,LINN COUNTY JAIL,2015,2
2015,LONG BEACH CITY JAIL,LONG BEACH,CALIFORNIA,1,LONG BEACH CITY JAIL,2015,3
2015,LORAIN CORRECTIONAL,GRAFTON,OHIO,1,LORAIN CORRECTIONAL,2015,1
2015,LOS ANGELES CITY JAIL,LOS ANGELES,CALIFORNIA,12,LOS ANGELES CITY JAIL,2015,38
2015,LOS ANGELES COUNTY JAIL-TWIN TOWER,LOS ANGELES,CALIFORNIA,181,LOS ANGELES COUNTY JAIL-TWIN TOWER,2015,164
2015,LOS ANGELES POLICE PD 77TH DIV.,LOS ANGELES,CALIFORNIA,2,LOS ANGELES POLICE PD 77TH DIV.,2015,6
2015,LOS CUST CASE,LOS ANGELES,CALIFORNIA,1,LOS CUST CASE,2015,7
2015,LUNA COUNTY JAIL,DEMING,NEW MEXICO,1,LUNA COUNTY JAIL,2015,1
2015,LYON COUNTY JAIL,MARSHALL,MINNESOTA,1,LYON COUNTY JAIL,2015,1
2015,MADERA CO DEPT OF CORRECT,MADERA,CALIFORNIA,1,MADERA CO DEPT OF CORRECT,2015,6
2015,MADISON COUNTY JAIL,HUNTSVILLE,ALABAMA,1,MADISON COUNTY JAIL,2015,10
2015,MANHATTAN CENTRAL BOOKING,MANHATTAN,NEW YORK,11,MANHATTAN CENTRAL BOOKING,2015,4
2015,MANSON YOUTH INST,CHESHIRE,CONNECTICUT,1,MANSON YOUTH INST,2015,2
2015,MARICOPA COUNTY JAIL,PHOENIX,ARIZONA,5,MARICOPA COUNTY JAIL,2015,905
2015,MARIN CO. JAIL,SAN RAFAEL,CALIFORNIA,12,MARIN CO. JAIL,2015,4
2015,MASON COUNTY JAIL,SHELTON,WASHINGTON,3,MASON COUNTY JAIL,2015,1
2015,"MCRAE CORRECTIONAL FACILITY, CCA",MCRAE,GEORGIA,2,"MCRAE CORRECTIONAL FACILITY, CCA",2015,52
2015,MERCED COUNTY JAIL,MERCED,CALIFORNIA,2,MERCED COUNTY JAIL,2015,1
2015,MIDDLESEX COUNTY H.O.C.-BILLERICA,BILLERICA,MASSACHUSETTS,3,MIDDLESEX COUNTY H.O.C.-BILLERICA,2015,6
2015,MOBILE COUNTY JAIL,MOBILE,ALABAMA,1,MOBILE COUNTY JAIL,2015,7
2015,MOHAVE CO CORR CENTER,KINGMAN,ARIZONA,1,MOHAVE CO CORR CENTER,2015,3
2015,MONMOUTH COUNTY JAIL,FREEHOLD,NEW JERSEY,1,MONMOUTH COUNTY JAIL,2015,19
2015,MONTEREY CO. JAIL,SALINAS,CALIFORNIA,3,MONTEREY CO. JAIL,2015,6
2015,MONTGOMERY CITY JAIL,MONTGOMERY,ALABAMA,1,MONTGOMERY CITY JAIL,2015,3
2015,MONTGOMERY COUNTY DET.,ROCKVILLE,MARYLAND,15,MONTGOMERY COUNTY DET.,2015,16
2015,MORGAN COUNTY JAIL,FT. MORGAN,COLORADO,5,MORGAN COUNTY JAIL,2015,3
2015,MULTNOMAH COUNTY JAIL,PORTLAND,OREGON,6,MULTNOMAH COUNTY JAIL,2015,1
2015,NAPA COUNTYY DEPT OF CORR,NAPA,CALIFORNIA,3,NAPA COUNTYY DEPT OF CORR,2015,3
2015,NASHUA ST. JAIL,BOSTON,MASSACHUSETTS,1,NASHUA ST. JAIL,2015,5
